,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Moving Sink Cock,1011 E1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 E2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 E3,Metal,Suzon,pcs,,0.0,5,0,
,,Open Shower Panel,2003 PS,Metal,Suzon,pcs,,0.0,5,0,
,,Lever Moving Sink Mixer,1024 A,Metal,Suzon,pcs,,0.0,5,0,
,,LeverTaip Sink Basin Mixer,2004 B,Metal,Suzon,pcs,6375,8499.8,5,2,
,,Rain Shower Head 8'',1057 A+,Metal,Suzon,pcs,1687.5,2249.9,5,7,
,,Rain Shower Head 10'',1057 B+,Metal,Suzon,pcs,,0.0,5,0,
,,Rain Showe Head 6'',1057 C,Metal,Suzon,pcs,,0.0,5,0,
,,Gayser Apple White 30 Lt,SG30,Metal,Suzon,pcs,,0.0,5,0,
,,Gayser Apple White 45Lt,SG45,Metal,Suzon,pcs,,0.0,5,0,
,,Liquit Box Apple White,1092 A,Metal,Suzon,pcs,712.5,950.0,5,1,
